,PHILIPPINES,NATIONAL CAPITAL REGION,City of Manila,City of Mandaluyong,City of San Juan,Quezon City,City of Marikina,City of Pasig,City of Caloocan,City of Malabon,City of Navotas,City of Valenzuela,City of Las Pi?as,City of Muntinlupa,City of Para?aque,Pasay City,City of Makati,Pateros,City of Taguig,CAR - CORDILLERA ADMINISTRATIVE REGION,Abra,Benguet (Excluding City of Baguio),City of Baguio,Ifugao,Kalinga,Mountain Province,Apayao,REGION I - ILOCOS REGION,Ilocos Norte,Ilocos Sur,La Union,Pangasinan,REGION II - CAGAYAN VALLEY,Batanes,Cagayan,Isabela,Nueva Vizcaya,Quirino,REGION III - CENTRAL LUZON,Aurora,Bataan,Bulacan,Nueva Ecija,Pampanga (Excluding City of Angeles),City of Angeles,Tarlac,Zambales (Excluding City of Olongapo),City of Olongapo,REGION IVA - CALABARZON,Batangas,Cavite,Laguna,Quezon (Excluding City of Lucena),City of Lucena,Rizal,MIMAROPA REGION,Marinduque,Occidental Mindoro,Oriental Mindoro,Palawan (Excluding City of Puerto Princesa),City of Puerto Princesa,Romblon,REGION V - BICOL REGION,Albay,Camarines Norte,Camarines Sur,Catanduanes,Masbate,Sorsogon,REGION VI - WESTERN VISAYAS,Aklan,Antique,Capiz,Iloilo (Excluding City of Iloilo),City of Iloilo,Guimaras,NEGROS ISLAND REGION,Negros Occidental (Excluding City of Bacolod),City of Bacolod,Negros Oriental,Siquijor,REGION VII - CENTRAL VISAYAS,Bohol,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),City of Cebu,City of Lapu-Lapu (Opon),City of Mandaue,REGION VIII - EASTERN VISAYAS,Eastern Samar,Leyte (Excluding City of Tacloban),City of Tacloban,Northern Samar,Samar (Western Samar),Southern Leyte,Biliran,REGION IX - ZAMBOANGA PENINSULA,Zamboanga Del Norte,Zamboanga Del Sur (Excluding City of Zamboanga),City of Zamboanga,Zamboanga Sibugay,Isabela City,REGION X - NORTHERN MINDANAO,Bukidnon,Camiguin,Lanao Del Norte (Excluding City of Iligan),City of Iligan,Misamis Occidental,Misamis Oriental (Excluding City of Cagayan De Oro),City of Cagayan De Oro,REGION XI - DAVAO REGION,Davao Del Norte,Davao Del Sur (Excluding City of Davao),City of Davao,Davao Oriental,Davao De Oro,Davao Occidental,REGION XII - SOCCSKSARGEN1/,Cotabato (North Cotabato),South Cotabato (Excluding City of General Santos),City of General Santos (Dadiangas),Sultan Kudarat,Sarangani,CARAGA,Agusan Del Norte (Excluding City of Butuan),City of Butuan,Agusan Del Sur,Surigao Del Norte,Surigao Del Sur,Dinagat Islands,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,Basilan,Lanao Del Sur,Maguindanao,Maguindanao del Sur,Maguindanao del Norte,Sulu,Tawi-Tawi,Cotabato City
Share to Family Expenditure, 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 ,,, 100.0 , 100.0 , 100.0 
Food and Non-Alcoholic Beverages, 42.6 , 40.1 , 47.7 , 41.1 , 39.9 , 38.9 , 35.2 , 35.4 , 44.9 , 41.4 , 44.4 , 41.6 , 34.8 , 44.5 , 35.6 , 38.1 , 29.5 , 38.2 , 40.4 , 37.8 , 46.6 , 37.5 , 31.7 , 40.0 , 41.1 , 40.7 , 41.9 , 42.6 , 46.0 , 40.4 , 41.2 , 42.7 , 42.9 , 29.8 , 42.9 , 42.8 , 43.9 , 42.4 , 42.1 , 44.3 , 40.7 , 41.8 , 42.8 , 43.7 , 37.3 , 42.1 , 43.8 , 36.6 , 41.4 , 39.1 , 40.3 , 41.2 , 46.0 , 44.9 , 42.9 , 42.7 , 48.0 , 43.2 , 38.6 , 46.5 , 36.5 , 47.9 , 46.2 , 42.6 , 46.1 , 44.4 , 44.6 , 54.8 , 50.2 , 41.4 , 41.3 , 44.2 , 47.3 , 39.4 , 36.3 , 44.5 , 46.9 , 51.9 , 40.2 , 42.3 , 43.1 , 42.7 , 42.7 , 44.9 , 40.0 , 39.4 , 41.5 , 46.3 , 45.6 , 45.4 , 40.8 , 49.3 , 50.5 , 46.8 , 43.4 , 47.6 , 45.4 , 47.9 , 51.0 , 44.3 , 51.4 , 43.3 , 45.6 , 40.4 , 50.7 , 43.2 , 46.0 , 42.5 , 37.1 , 41.4 , 44.0 , 43.1 , 35.8 , 49.7 , 49.6 , 51.1 , 44.5 , 45.9 , 42.4 , 39.0 , 48.0 , 49.4 , 43.9 , 44.6 , 39.2 , 46.8 , 44.4 , 42.9 , 45.3 , 58.6 , 52.2 , 68.7 , 52.0 ,,, 59.8 , 57.8 , 45.4 
    Food Consumed at Home, 38.5 , 32.7 , 35.3 , 28.6 , 29.9 , 32.4 , 28.7 , 31.6 , 37.5 , 35.0 , 37.7 , 31.2 , 31.1 , 37.3 , 31.1 , 32.7 , 22.7 , 33.8 , 36.9 , 36.0 , 45.8 , 35.3 , 29.5 , 39.0 , 39.0 , 39.4 , 41.3 , 39.1 , 42.0 , 39.2 , 38.5 , 38.5 , 41.7 , 29.3 , 42.1 , 41.3 , 42.6 , 41.0 , 38.4 , 42.9 , 37.2 , 37.3 , 40.9 , 40.0 , 32.9 , 38.6 , 40.7 , 32.3 , 35.8 , 36.4 , 33.2 , 37.1 , 43.1 , 38.1 , 34.5 , 41.9 , 46.8 , 42.4 , 37.6 , 46.1 , 35.2 , 47.1 , 44.0 , 38.8 , 42.8 , 43.2 , 42.4 , 53.9 , 48.4 , 39.1 , 39.5 , 42.7 , 44.9 , 37.3 , 31.8 , 42.4 , 43.4 , 47.9 , 34.4 , 40.9 , 42.4 , 39.4 , 41.7 , 41.6 , 36.1 , 35.2 , 36.3 , 44.4 , 43.9 , 43.5 , 37.4 , 47.2 , 49.2 , 44.3 , 41.6 , 46.3 , 44.4 , 47.0 , 49.1 , 43.2 , 50.8 , 40.7 , 44.2 , 39.1 , 49.2 , 39.0 , 42.5 , 40.7 , 33.5 , 39.4 , 40.9 , 41.4 , 33.7 , 48.6 , 48.1 , 50.3 , 42.7 , 44.4 , 40.1 , 36.7 , 46.7 , 47.7 , 41.9 , 41.9 , 36.4 , 44.7 , 42.6 , 42.0 , 44.9 , 54.6 , 51.7 , 60.9 , 49.4 ,,, 58.3 , 57.0 , 41.7 
    Food Regularly Consumed Outside the Home, 4.1 , 7.4 , 12.4 , 12.5 , 10.0 , 6.5 , 6.5 , 3.8 , 7.4 , 6.4 , 6.7 , 10.4 , 3.6 , 7.3 , 4.5 , 5.4 , 6.8 , 4.4 , 3.6 , 1.8 , 0.8 , 2.3 , 2.2 , 0.9 , 2.2 , 1.3 , 0.6 , 3.5 , 4.0 , 1.1 , 2.7 , 4.2 , 1.2 , 0.5 , 0.9 , 1.5 , 1.3 , 1.4 , 3.6 , 1.5 , 3.6 , 4.4 , 1.9 , 3.8 , 4.4 , 3.5 , 3.2 , 4.3 , 5.6 , 2.7 , 7.2 , 4.0 , 2.9 , 6.8 , 8.3 , 0.9 , 1.2 , 0.8 , 1.1 , 0.4 , 1.3 , 0.8 , 2.2 , 3.7 , 3.3 , 1.2 , 2.3 , 0.9 , 1.8 , 2.4 , 1.8 , 1.5 , 2.5 , 2.2 , 4.5 , 2.1 , 3.5 , 4.0 , 5.8 , 1.4 , 0.8 , 3.2 , 1.0 , 3.3 , 3.8 , 4.3 , 5.2 , 1.9 , 1.6 , 1.9 , 3.3 , 2.0 , 1.3 , 2.5 , 1.7 , 1.3 , 1.1 , 0.9 , 1.9 , 1.1 , 0.6 , 2.5 , 1.4 , 1.4 , 1.5 , 4.2 , 3.5 , 1.8 , 3.6 , 2.0 , 3.1 , 1.7 , 2.1 , 1.1 , 1.5 , 0.8 , 1.8 , 1.5 , 2.3 , 2.3 , 1.2 , 1.7 , 2.0 , 2.7 , 2.8 , 2.1 , 1.9 , 1.0 , 0.4 , 4.0 , 0.5 , 7.8 , 2.5 ,,, 1.5 , 0.8 , 3.7 
"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages", 0.0 , 0.0 , -   , -   , -   , -   , -   , -   , 0.0 , -   , -   , 0.0 , 0.0 , 0.0 , -   , 0.0 , -   , -   , -   , 0.0 , -   , 0.0 , 0.0 , 0.0 , -   , -   , 0.0 , 0.0 , -   , 0.0 , 0.0 , 0.0 , 0.0 , -   , 0.0 , 0.0 , 0.0 , 0.1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.0 , 0.0 , -   , 0.0 , -   , -   , -   , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -   , 0.0 , -   , -   , 0.0 , -   , -   , 0.0 , 0.0 , 0.0 , 0.1 , -   , -   , 0.0 , 0.0 , 0.0 , -   , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -   , 0.0 , -   , 0.0 , 0.0 , -   , -   , -   , -   , -   , 0.0 , -   , 0.0 , -   , -   , -   , 0.0 , -   , 0.0 , 0.0 , -   , -   , 0.0 , 0.0 , 0.0 , -   , -   , 0.0 , 0.0 , -   , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,,, -   , -   , 0.0 
Alcoholic Beverages and Tobacco, 1.7 , 1.3 , 1.6 , 1.5 , 1.3 , 1.3 , 1.1 , 1.2 , 1.7 , 1.5 , 1.9 , 1.2 , 1.0 , 1.5 , 1.3 , 1.6 , 0.7 , 1.1 , 1.3 , 1.5 , 1.6 , 1.4 , 1.0 , 2.1 , 2.0 , 1.3 , 2.7 , 1.7 , 1.3 , 2.3 , 1.5 , 1.7 , 2.4 , 1.4 , 2.8 , 2.3 , 2.1 , 2.0 , 1.9 , 2.6 , 1.6 , 2.1 , 2.0 , 1.6 , 1.6 , 2.3 , 1.8 , 1.4 , 2.0 , 3.0 , 1.6 , 1.9 , 2.1 , 1.7 , 2.0 , 2.0 , 1.7 , 2.7 , 1.8 , 2.0 , 1.4 , 2.0 , 1.9 , 1.7 , 1.7 , 1.9 , 1.8 , 2.0 , 2.1 , 2.0 , 1.4 , 2.1 , 2.1 , 2.3 , 1.4 , 1.7 , 1.7 , 2.2 , 1.3 , 1.2 , 1.0 , 1.4 , 1.4 , 1.5 , 1.4 , 1.5 , 1.4 , 1.7 , 1.3 , 1.7 , 1.5 , 1.6 , 2.4 , 1.3 , 1.9 , 1.5 , 1.5 , 1.6 , 1.2 , 1.7 , 1.1 , 1.5 , 1.5 , 1.5 , 1.9 , 1.5 , 1.3 , 1.9 , 1.2 , 1.5 , 1.3 , 1.9 , 1.2 , 2.3 , 1.9 , 2.2 , 2.2 , 1.9 , 2.3 , 2.0 , 2.2 , 3.2 , 1.3 , 1.5 , 1.2 , 1.5 , 1.1 , 1.3 , 1.4 , 1.7 , 1.7 , 0.9 , 2.3 ,,, 2.1 , 3.0 , 1.0 
Clothing and Footwear, 1.5 , 1.0 , 1.0 , 1.3 , 1.1 , 1.0 , 1.0 , 0.9 , 1.1 , 1.0 , 1.2 , 0.8 , 0.9 , 1.0 , 1.1 , 1.1 , 1.2 , 0.9 , 0.8 , 1.9 , 1.8 , 2.0 , 1.2 , 2.3 , 2.4 , 2.2 , 2.7 , 1.6 , 1.7 , 2.0 , 1.5 , 1.5 , 1.7 , 2.1 , 1.9 , 1.5 , 1.9 , 2.2 , 1.5 , 2.1 , 1.4 , 1.1 , 1.3 , 1.7 , 1.4 , 2.3 , 1.5 , 1.4 , 1.3 , 1.3 , 1.2 , 1.4 , 1.7 , 1.4 , 1.1 , 2.1 , 1.7 , 2.6 , 2.4 , 2.0 , 1.4 , 1.9 , 1.9 , 1.9 , 1.6 , 1.8 , 2.1 , 2.5 , 1.8 , 1.9 , 1.5 , 2.3 , 1.8 , 2.0 , 1.5 , 2.3 , 1.9 , 2.0 , 1.7 , 1.5 , 2.6 , 1.3 , 1.6 , 1.4 , 1.1 , 1.1 , 1.0 , 1.7 , 2.0 , 1.6 , 1.6 , 1.8 , 2.2 , 1.6 , 2.3 , 2.0 , 2.2 , 2.1 , 1.5 , 2.4 , 1.7 , 1.8 , 2.1 , 2.2 , 2.0 , 1.8 , 1.8 , 1.6 , 1.4 , 1.7 , 1.9 , 1.9 , 1.4 , 1.7 , 2.2 , 2.4 , 2.4 , 2.5 , 1.9 , 1.6 , 4.4 , 2.2 , 1.9 , 1.8 , 1.9 , 2.4 , 1.4 , 1.7 , 2.1 , 2.3 , 3.2 , 1.5 , 2.8 ,,, 2.5 , 2.6 , 2.4 
"Housing, Water, Electricity, Gas and Other Fuels", 24.1 , 30.9 , 26.6 , 28.7 , 26.4 , 30.3 , 31.2 , 34.3 , 27.2 , 29.6 , 29.0 , 28.8 , 36.0 , 25.8 , 33.9 , 33.9 , 40.9 , 32.9 , 33.5 , 25.1 , 22.8 , 23.1 , 35.3 , 18.1 , 19.6 , 17.1 , 16.7 , 21.8 , 19.3 , 23.0 , 20.9 , 22.4 , 22.2 , 25.5 , 22.5 , 23.3 , 19.2 , 18.9 , 24.1 , 17.7 , 23.5 , 23.7 , 27.6 , 23.6 , 30.0 , 19.9 , 22.6 , 29.8 , 23.7 , 24.1 , 23.9 , 23.8 , 19.5 , 21.6 , 24.9 , 20.4 , 18.3 , 19.1 , 21.0 , 18.4 , 30.1 , 16.5 , 21.3 , 25.2 , 22.9 , 22.7 , 18.5 , 13.2 , 17.7 , 21.4 , 21.9 , 19.3 , 19.4 , 20.8 , 29.3 , 16.8 , 20.9 , 17.9 , 26.4 , 22.9 , 19.6 , 27.1 , 23.2 , 24.8 , 33.5 , 30.3 , 29.0 , 21.3 , 20.4 , 22.6 , 25.2 , 21.7 , 18.2 , 18.6 , 18.9 , 18.9 , 18.8 , 16.6 , 21.9 , 17.2 , 21.0 , 21.8 , 19.6 , 21.2 , 20.6 , 24.7 , 17.0 , 20.0 , 28.2 , 25.0 , 24.5 , 20.5 , 30.9 , 14.1 , 16.9 , 17.4 , 18.0 , 16.9 , 17.1 , 24.2 , 16.5 , 15.7 , 18.9 , 17.0 , 20.2 , 14.7 , 25.5 , 18.5 , 17.3 , 14.9 , 16.7 , 11.6 , 16.9 ,,, 13.6 , 14.9 , 21.7 
Furnishings and Routine Household Maintenance, 1.9 , 1.9 , 1.4 , 1.4 , 2.1 , 2.4 , 2.3 , 1.7 , 1.2 , 1.3 , 1.7 , 1.5 , 1.9 , 1.7 , 2.7 , 1.4 , 2.8 , 1.4 , 1.2 , 1.5 , 1.5 , 1.4 , 1.3 , 1.4 , 1.9 , 1.3 , 2.2 , 2.2 , 2.1 , 2.0 , 2.4 , 2.3 , 2.1 , 2.5 , 2.2 , 2.1 , 1.8 , 2.0 , 1.9 , 2.0 , 2.3 , 1.9 , 1.8 , 1.7 , 1.9 , 2.4 , 1.8 , 2.0 , 1.8 , 1.8 , 1.6 , 1.9 , 2.0 , 1.9 , 1.9 , 2.1 , 2.6 , 2.4 , 2.2 , 1.6 , 1.8 , 2.4 , 2.1 , 2.1 , 2.1 , 1.7 , 2.6 , 2.4 , 2.3 , 2.3 , 2.6 , 2.0 , 2.0 , 2.3 , 2.8 , 1.9 , 2.1 , 2.0 , 2.6 , 1.9 , 2.2 , 1.8 , 2.2 , 2.0 , 1.4 , 1.7 , 1.3 , 2.0 , 2.3 , 1.9 , 2.0 , 2.0 , 2.1 , 2.1 , 2.9 , 2.0 , 1.9 , 2.2 , 1.5 , 2.4 , 1.3 , 1.9 , 1.9 , 2.8 , 1.6 , 1.6 , 1.9 , 1.9 , 2.0 , 1.6 , 1.5 , 2.1 , 1.4 , 1.8 , 1.9 , 2.5 , 1.8 , 1.8 , 2.0 , 1.6 , 1.6 , 1.6 , 2.2 , 2.0 , 2.3 , 2.0 , 2.1 , 2.5 , 2.1 , 1.2 , 1.6 , 1.1 , 1.4 ,,, 1.0 , 1.3 , 1.5 
Health, 3.3 , 2.5 , 2.3 , 2.0 , 2.3 , 3.1 , 2.9 , 2.4 , 2.0 , 3.2 , 2.2 , 2.1 , 2.0 , 2.4 , 2.9 , 2.8 , 1.9 , 2.6 , 2.1 , 3.5 , 2.4 , 4.2 , 3.0 , 3.2 , 3.4 , 2.8 , 7.5 , 4.3 , 3.2 , 4.4 , 4.6 , 4.4 , 3.6 , 4.6 , 3.0 , 3.9 , 4.2 , 3.7 , 3.6 , 3.0 , 4.9 , 3.8 , 2.9 , 3.1 , 2.9 , 5.0 , 3.1 , 3.1 , 3.7 , 4.6 , 3.8 , 3.4 , 4.5 , 3.6 , 2.6 , 3.8 , 3.3 , 3.4 , 5.2 , 3.2 , 3.0 , 3.4 , 3.5 , 3.2 , 3.8 , 3.8 , 4.0 , 2.7 , 3.3 , 4.7 , 5.0 , 5.4 , 3.3 , 4.9 , 3.6 , 9.4 , 3.2 , 2.4 , 2.8 , 4.7 , 4.9 , 2.8 , 3.0 , 2.8 , 2.9 , 2.3 , 2.6 , 3.3 , 2.6 , 4.2 , 3.5 , 1.8 , 2.3 , 3.5 , 4.0 , 2.8 , 3.6 , 2.8 , 2.2 , 2.7 , 2.5 , 2.9 , 2.4 , 4.5 , 2.2 , 2.6 , 3.5 , 3.6 , 2.8 , 2.8 , 2.4 , 2.9 , 2.9 , 3.4 , 2.5 , 2.5 , 3.3 , 2.9 , 4.2 , 3.7 , 2.5 , 2.4 , 3.2 , 3.4 , 4.0 , 3.3 , 3.0 , 2.0 , 5.7 , 1.8 , 2.7 , 1.8 , 1.2 ,,, 2.6 , 1.4 , 1.6 
